"Kod";"Nazwa";"Miejsca pracy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2017";11,7;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2018";13,0;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2019";12,1;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2020";11,2;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2021";10,5;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2022";12,4;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2023";9,9;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2024";12,6;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2015";20,2;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2016";25,8;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2017";24,6;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2018";28,2;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2019";27,1;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2020";17,9;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2021";23,4;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2022";19,5;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2023";15,0;"tys. msc.";"";
0600000;"LUBELSKIE";"nowo utworzone miejsca pracy";"2024";17,0;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2015";9,5;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2016";11,1;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2017";10,9;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2018";13,2;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2019";10,9;"tys. msc.";"";
